country_code,country,manager_name,manager_dob,source
ALG,Algeria,,,TODO:wikipedia
ARG,Argentina,,,TODO:wikipedia
AUS,Australia,,,TODO:wikipedia
AUT,Austria,,,TODO:wikipedia
BEL,Belgium,,,TODO:wikipedia
BIH,Bosnia and Herzegovina,,,TODO:wikipedia
BRA,Brazil,,,TODO:wikipedia
CAN,Canada,,,TODO:wikipedia
CIV,Ivory Coast,,,TODO:wikipedia
COD,DR Congo,,,TODO:wikipedia
COL,Colombia,,,TODO:wikipedia
CPV,Cape Verde,,,TODO:wikipedia
CRO,Croatia,,,TODO:wikipedia
CUW,Curaçao,,,TODO:wikipedia
CZE,Czech Republic,,,TODO:wikipedia
ECU,Ecuador,,,TODO:wikipedia
EGY,Egypt,,,TODO:wikipedia
ENG,England,,,TODO:wikipedia
ESP,Spain,,,TODO:wikipedia
FRA,France,,,TODO:wikipedia
GER,Germany,,,TODO:wikipedia
GHA,Ghana,,,TODO:wikipedia
HAI,Haiti,,,TODO:wikipedia
IRN,Iran,,,TODO:wikipedia
IRQ,Iraq,,,TODO:wikipedia
JOR,Jordan,,,TODO:wikipedia
JPN,Japan,,,TODO:wikipedia
KOR,South Korea,,,TODO:wikipedia
KSA,Saudi Arabia,,,TODO:wikipedia
MAR,Morocco,,,TODO:wikipedia
MEX,Mexico,,,TODO:wikipedia
NED,Netherlands,,,TODO:wikipedia
NOR,Norway,,,TODO:wikipedia
NZL,New Zealand,,,TODO:wikipedia
PAN,Panama,,,TODO:wikipedia
PAR,Paraguay,,,TODO:wikipedia
POR,Portugal,,,TODO:wikipedia
QAT,Qatar,,,TODO:wikipedia
RSA,South Africa,,,TODO:wikipedia
SCO,Scotland,,,TODO:wikipedia
SEN,Senegal,,,TODO:wikipedia
SUI,Switzerland,,,TODO:wikipedia
SWE,Sweden,,,TODO:wikipedia
TUN,Tunisia,,,TODO:wikipedia
TUR,Turkey,,,TODO:wikipedia
URU,Uruguay,,,TODO:wikipedia
USA,United States,,,TODO:wikipedia
UZB,Uzbekistan,,,TODO:wikipedia
