id,name,api_football_id,fd_name,rating_mu,rating_sigma
1928,France,2,,2476.3054564182416,133.73517389292917
1975,Georgia,1104,,1691.1105131445229,149.22518607856088
1981,Belarus,1100,,1513.2556867626167,169.14872819224675
1990,Lithuania,1097,,1020.1413223721912,221.60647475795227
2635,Colombia,8,,2238.516024664491,130.05907026519108
1904,Qatar,1569,,1602.4918649703318,236.9522913617652
1929,Australia,20,,1889.2140520606156,225.04675735803323
2004,Armenia,1094,,1137.4720051238294,180.4793852619507
1976,Kazakhstan,1095,,1174.0353778896167,202.87219211757667
1980,Estonia,1101,,1224.85947226905,211.68577740251095
1982,Azerbaijan,1096,,1063.7069321772708,191.11429473552198
1987,Bulgaria,1103,,1366.235014121188,189.80239588437954
2000,Liechtenstein,1107,,-207.374246548385,340.2771559203095
2002,Finland,1099,,1345.7161617049048,180.5368251302725
2630,Chile,2383,,2006.5373297023543,140.16275719281353
2631,Venezuela,2379,,1811.3986485017601,146.04939621312016
2714,Cape Verde Islands,1533,,1941.8334949385637,282.1905053317131
2840,Curaçao,5530,,1857.1786470755842,260.9653699144724
2951,New Zealand,4673,,1441.729296070584,264.29872989184673
1919,Cameroon,1530,,1874.4118542763943,257.08004964208624
2772,Uzbekistan,1568,,2056.2533429137357,230.2352650905261
2632,Jamaica,2385,,1825.0149934695905,219.1472527852202
1900,Senegal,13,,2188.2527611223795,207.22992601915334
1901,Netherlands,1118,,2312.906871959872,149.07266833441398
1902,England,10,,2428.0267705928927,156.78491107574496
1903,Iran,22,,2070.646525234424,259.68609764785776
1905,Ecuador,2382,,2229.02465749534,131.42596046377116
1906,Argentina,26,,2460.574453713819,176.06631001365136
1907,Saudi Arabia,23,,2118.9465898955496,206.47188342421066
1908,Denmark,21,,2101.1233401915647,143.58719608297253
1909,Tunisia,28,,1768.046122547181,212.23344811520732
1910,Mexico,16,,2032.2291308725626,127.30655140480955
1911,Poland,24,,1965.9362667067503,148.53299482047635
1912,Morocco,31,,2491.232581138152,207.26837434064922
1913,Croatia,3,,2279.8582655078612,143.117733514505
1914,Germany,25,,2243.176973461079,127.98550581567142
1915,Japan,12,,2323.446552982086,192.0436796742799
1916,Belgium,1,,2179.372594296906,144.46683423683933
1917,Canada,5529,,2192.202385153708,162.04891770810826
1918,Switzerland,15,,2160.6114166762063,131.5596077259375
1920,Uruguay,7,,2068.547354208489,131.9705544019509
1921,South Korea,17,,2090.234587860024,181.9540234188186
1922,Portugal,27,,2204.248839512158,145.05182929160026
1923,Ghana,1504,,1334.6459932355556,286.809816659608
1924,Brazil,6,,2201.293257854079,137.98546396213723
1925,Serbia,14,,1959.521824029269,147.63128192278936
1926,USA,2384,,2076.304938412332,137.38925996476604
1927,Wales,767,,1816.7934472216332,150.9530377762785
1930,Spain,9,,2603.7030262218263,151.3576250722601
1931,Costa Rica,29,,1620.5657407871972,204.2924312831115
1964,Scotland,1108,,1999.7331929717889,142.26135050235985
1965,Hungary,769,,1793.5194298852448,148.67584155998364
1966,Italy,768,,2117.778483392906,140.67642300966
1967,Albania,778,,1852.791032725252,154.9975751214976
1968,Slovenia,1091,,1755.7558441283468,130.27209730543316
1969,Austria,775,,2042.5738491047728,158.45952113842696
1970,Slovakia,773,,1780.5609402167047,138.46351166726876
1971,Czech Republic,770,,1891.25705559158,144.34091809051213
1972,Romania,774,,1671.6637485371443,172.6587183111785
1973,Ukraine,772,,1766.9474587722711,136.2078644223128
1974,Türkiye,777,,2162.2219253109715,141.83555895241614
1977,Cyprus,1106,,928.2096714413085,211.4973736667314
1978,San Marino,1115,,-128.06015322395476,331.9023657420935
1979,Northern Ireland,771,,1712.2149363359367,150.55604115154287
1983,Israel,1116,,1644.953883203024,175.23119853917737
1984,FYR Macedonia,1105,,1494.9653197333582,174.24455513827
1985,Latvia,1092,,985.2533886929369,236.08086652778303
1986,Russia,4,,2155.0631046077747,232.1857708317692
1988,Montenegro,1109,,1290.9550142157036,181.15623128207395
1989,Luxembourg,1102,,1310.4454100460384,169.2082717868675
1991,Moldova,1114,,854.2346672876906,218.54694281810242
1992,andorra,1110,,424.25440790395726,287.8793054009954
1993,Iceland,18,,1556.6618613162304,148.68067252467992
1994,Gibraltar,1093,,276.62519627196264,301.60347568894906
1995,Rep. Of Ireland,776,,1875.1265765079152,164.06843595650764
1996,Sweden,5,,1846.0797867633619,135.79911733436214
1997,Malta,1112,,984.7089486391892,210.22471756881833
1998,Faroe Islands,1098,,1568.307130457491,219.64753928557408
1999,Norway,1090,,2300.14510729077,156.58721467388656
2001,Greece,1117,,1846.848200662481,146.65914596894078
2003,Bosnia & Herzegovina,1113,,1706.188056373135,192.5199370358082
2005,Kosovo,1111,,2044.2930331704713,143.17106245159997
2629,Peru,30,,1800.1203988784273,134.2609093461325
2633,Bolivia,2381,,1725.8347457349475,137.8069112601568
2634,Panama,11,,1760.4960679076999,167.5898811574658
2636,Paraguay,2380,,2076.3678106762554,127.8740210709995
2708,Ivory Coast,1501,,2331.9468101024486,226.6569525535343
2710,Nigeria,19,,2237.390308983549,209.151936900999
2712,Egypt,32,,1916.7886348299626,206.70982579294767
2717,Algeria,1532,,2227.763608693558,260.3549179845132
2723,South Africa,1531,,1898.9860707768291,247.56681904326297
2782,Jordan,1548,,1557.1959693952176,193.7675484283697
2843,Haiti,2386,,1556.127351615955,245.93682736013088
