fifa_code,name,eloratings_name,martj42_name
ALG,Algeria,Algeria,Algeria
ARG,Argentina,Argentina,Argentina
AUS,Australia,Australia,Australia
AUT,Austria,Austria,Austria
BEL,Belgium,Belgium,Belgium
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina
BRA,Brazil,Brazil,Brazil
CAN,Canada,Canada,Canada
CIV,Côte d'Ivoire,Ivory Coast,Ivory Coast
COD,Congo DR,DR Congo,DR Congo
COL,Colombia,Colombia,Colombia
CPV,Cabo Verde,Cape Verde,Cape Verde
CRO,Croatia,Croatia,Croatia
CUW,Curaçao,Curaçao,Curaçao
CZE,Czechia,Czechia,Czech Republic
ECU,Ecuador,Ecuador,Ecuador
EGY,Egypt,Egypt,Egypt
ENG,England,England,England
ESP,Spain,Spain,Spain
FRA,France,France,France
GER,Germany,Germany,Germany
GHA,Ghana,Ghana,Ghana
HAI,Haiti,Haiti,Haiti
IRN,IR Iran,Iran,Iran
IRQ,Iraq,Iraq,Iraq
JOR,Jordan,Jordan,Jordan
JPN,Japan,Japan,Japan
KOR,Korea Republic,South Korea,South Korea
KSA,Saudi Arabia,Saudi Arabia,Saudi Arabia
MAR,Morocco,Morocco,Morocco
MEX,Mexico,Mexico,Mexico
NED,Netherlands,Netherlands,Netherlands
NOR,Norway,Norway,Norway
NZL,New Zealand,New Zealand,New Zealand
PAN,Panama,Panama,Panama
PAR,Paraguay,Paraguay,Paraguay
POR,Portugal,Portugal,Portugal
QAT,Qatar,Qatar,Qatar
RSA,South Africa,South Africa,South Africa
SCO,Scotland,Scotland,Scotland
SEN,Senegal,Senegal,Senegal
SUI,Switzerland,Switzerland,Switzerland
SWE,Sweden,Sweden,Sweden
TUN,Tunisia,Tunisia,Tunisia
TUR,Türkiye,Turkey,Turkey
URU,Uruguay,Uruguay,Uruguay
USA,USA,United States,United States
UZB,Uzbekistan,Uzbekistan,Uzbekistan
